time;I(VBT1);V(+3V0);V(/Green_Signal);V(/Red_Signal);
30.4033;-4.9249e-06;3;-0.105344;-0.0528944;
30.4043;-0.00095987;3;-0.0894111;-0.0524431;
30.4053;-4.35075e-06;3;-0.105283;-0.0519781;
30.4063;-0.000959319;3;-0.0893491;-0.0514978;
30.4073;-3.84226e-06;3;-0.10522;-0.051;
30.4083;-0.000958843;3;-0.0892838;-0.0504818;
30.4093;-3.41918e-06;3;-0.105154;-0.04994;
30.4103;-0.000958466;3;-0.089215;-0.0493699;
30.4113;-3.11478e-06;3;-0.105083;-0.0487653;
30.4123;-0.000958233;3;-0.0891426;-0.0481175;
30.4133;-2.99277e-06;3;-0.105009;-0.0474134;
30.4143;-0.00095824;3;-0.0890665;-0.0466314;
30.4153;-3.20816e-06;3;-0.104932;-0.045732;
30.4163;-0.000958779;3;-0.0889865;-0.0446235;
30.4173;-4.55482e-06;3;-0.10485;-0.0429327;
30.4174;-0.000482412;3;-0.0968925;-0.0425772;
30.4174;-0.000482494;3;-0.0968911;-0.0424738;
30.4175;-0.000482689;3;-0.0968885;-0.042233;
30.4175;-0.00048275;3;-0.0968878;-0.0421605;
30.4175;-0.000482887;3;-0.0968865;-0.0420002;
30.4176;-0.000483359;3;-0.0968838;-0.0414801;
30.4176;-0.000483503;3;-0.0968834;-0.0413286;
30.4176;-0.000484069;3;-0.0968825;-0.0407462;
30.4176;-0.000484447;3;-0.0968823;-0.0403647;
30.4176;-0.000484557;3;-0.0968823;-0.0402539;
30.4176;-0.000484821;3;-0.0968821;-0.0399901;
30.4176;-0.000486038;3;-0.0968819;-0.0387867;
30.4176;-0.000486753;3;-0.0968819;-0.0380877;
30.4176;-0.000490326;3;-0.0968818;-0.0346662;
30.4176;-0.000491872;3;-0.0968817;-0.0332169;
30.4176;-0.000497489;3;-0.0968817;-0.0280763;
30.4176;-0.000499068;3;-0.0968817;-0.0266598;
30.4176;-0.000503074;3;-0.0968817;-0.0231146;
30.4176;-0.000517422;3;-0.0968817;-0.0108034;
30.4176;-0.00060352;3;-0.0968816;0.0672077;
30.4176;-0.000665462;3;-0.0968816;0.287652;
30.4176;-0.000693789;3;-0.0968816;0.614986;
30.4176;-0.000641355;3;-0.0968816;0.758064;
30.4176;-0.000693401;3;-0.0968816;0.847844;
30.4176;-0.000641306;3;-0.0968815;0.954396;
30.4176;0.00538313;3;-0.0968815;0.976129;
30.4176;0.000467357;3;-0.0968815;0.976994;
30.4176;0.00539493;3;-0.0968815;0.977087;
30.4176;0.000473788;3;-0.0968814;0.976992;
30.4176;0.00539019;3;-0.0968814;0.977087;
30.4176;0.000476159;3;-0.0968812;0.976992;
